cve_id,published_date,last_modified_date,description,vuln_status,severity,cvss_version,cvss_score,attack_vector,access_complexity,confidentiality_impact,integrity_impact,availability_impact,source_identifier,reference_urls,created_at
CVE-1999-1312,1993-02-24T05:00:00.000,2025-04-03T01:03:51.193,"Vulnerability in DEC OpenVMS VAX 5.5-2 through 5.0, and OpenVMS AXP 1.0, allows local users to gain system privileges.",Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://www.cert.org/advisories/CA-1993-05.html, https://exchange.xforce.ibmcloud.com/vulnerabilities/7142, http://www.cert.org/advisories/CA-1993-05.html, https://exchange.xforce.ibmcloud.com/vulnerabilities/7142",
CVE-1999-1216,1993-04-22T04:00:00.000,2025-04-03T01:03:51.193,"Cisco routers 9.17 and earlier allow remote attackers to bypass security restrictions via certain IP source routed packets that should normally be denied using the ""no ip source-route"" command.",Deferred,HIGH,2.0,7.5,NETWORK,LOW,PARTIAL,PARTIAL,PARTIAL,cve@mitre.org,"http://ciac.llnl.gov/ciac/bulletins/d-15.shtml, http://www.cert.org/advisories/CA-1993-07.html, https://exchange.xforce.ibmcloud.com/vulnerabilities/541, http://ciac.llnl.gov/ciac/bulletins/d-15.shtml, http://www.cert.org/advisories/CA-1993-07.html, https://exchange.xforce.ibmcloud.com/vulnerabilities/541",
CVE-1999-1162,1993-05-24T04:00:00.000,2025-04-03T01:03:51.193,Vulnerability in passwd in SCO UNIX 4.0 and earlier allows attackers to cause a denial of service by preventing users from being able to log into the system.,Deferred,MEDIUM,2.0,6.4,NETWORK,LOW,NONE,PARTIAL,PARTIAL,cve@mitre.org,"http://www.cert.org/advisories/CA-1993-08.html, http://www.iss.net/security_center/static/542.php, http://www.cert.org/advisories/CA-1993-08.html, http://www.iss.net/security_center/static/542.php",
CVE-1999-0124,1993-08-09T04:00:00.000,2025-04-03T01:03:51.193,Vulnerabilities in UMN gopher and gopher+ versions 1.12 and 2.0x allow an intruder to read any files that can be accessed by the gopher daemon.,Deferred,HIGH,2.0,10.0,NETWORK,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0124, https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0124",
CVE-1999-1215,1993-09-16T04:00:00.000,2025-04-03T01:03:51.193,"LOGIN.EXE program in Novell Netware 4.0 and 4.01 temporarily writes user name and password information to disk, which could allow local users to gain privileges.",Deferred,MEDIUM,2.0,4.6,LOCAL,LOW,PARTIAL,PARTIAL,PARTIAL,cve@mitre.org,"http://ciac.llnl.gov/ciac/bulletins/d-21.shtml, http://www.cert.org/advisories/CA-1993-12.html, https://exchange.xforce.ibmcloud.com/vulnerabilities/545, http://ciac.llnl.gov/ciac/bulletins/d-21.shtml, http://www.cert.org/advisories/CA-1993-12.html, https://exchange.xforce.ibmcloud.com/vulnerabilities/545",
CVE-1999-1138,1993-09-17T04:00:00.000,2025-04-03T01:03:51.193,"SCO UNIX System V/386 Release 3.2, and other SCO products, installs the home directories (1) /tmp for the dos user, and (2) /usr/tmp for the asg user, which allows other users to gain access to those accounts since /tmp and /usr/tmp are world-writable.",Deferred,HIGH,2.0,10.0,NETWORK,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://www.cert.org/advisories/CA-1993-13.html, https://exchange.xforce.ibmcloud.com/vulnerabilities/546, http://www.cert.org/advisories/CA-1993-13.html, https://exchange.xforce.ibmcloud.com/vulnerabilities/546",
CVE-1999-1318,1993-09-17T04:00:00.000,2025-04-03T01:03:51.193,"/usr/5bin/su in SunOS 4.1.3 and earlier uses a search path that includes the current working directory (.), which allows local users to gain privileges via Trojan horse programs.",Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://sunsolve.sun.com/pub-cgi/retrieve.pl?doc=fpatches%2F100630&zone_32=112193%2A%20, http://www.iss.net/security_center/static/7480.php, http://sunsolve.sun.com/pub-cgi/retrieve.pl?doc=fpatches%2F100630&zone_32=112193%2A%20, http://www.iss.net/security_center/static/7480.php",
CVE-1999-0145,1993-09-30T04:00:00.000,2025-04-03T01:03:51.193,"Sendmail WIZ command enabled, allowing root access.",Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://seclists.org/fulldisclosure/2019/Jun/16, http://www.alw.nih.gov/Security/Docs/admin-guide-to-cracking.101.html, http://www.cert.org/advisories/CA-1990-11.html, http://www.cert.org/advisories/CA-1993-14.html, http://www.openwall.com/lists/oss-security/2019/06/05/4, http://www.openwall.com/lists/oss-security/2019/06/06/1, http://www2.dataguard.no/bugtraq/1995_1/0332.html, http://seclists.org/fulldisclosure/2019/Jun/16, http://www.alw.nih.gov/Security/Docs/admin-guide-to-cracking.101.html, http://www.cert.org/advisories/CA-1990-11.html, http://www.cert.org/advisories/CA-1993-14.html, http://www.openwall.com/lists/oss-security/2019/06/05/4, http://www.openwall.com/lists/oss-security/2019/06/06/1, http://www2.dataguard.no/bugtraq/1995_1/0332.html",
CVE-1999-1137,1993-10-01T04:00:00.000,2025-04-03T01:03:51.193,"The permissions for the /dev/audio device on Solaris 2.2 and earlier, and SunOS 4.1.x, allow any local user to read from the device, which could be used by an attacker to monitor conversations happening near a machine that has a microphone.",Deferred,LOW,2.0,2.1,LOCAL,LOW,PARTIAL,NONE,NONE,cve@mitre.org,"http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/122&type=0&nav=sec.sba, http://www.ciac.org/ciac/bulletins/e-01.shtml, http://www.osvdb.org/6436, https://exchange.xforce.ibmcloud.com/vulnerabilities/549, http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/122&type=0&nav=sec.sba, http://www.ciac.org/ciac/bulletins/e-01.shtml, http://www.osvdb.org/6436, https://exchange.xforce.ibmcloud.com/vulnerabilities/549",
CVE-1999-0334,1993-12-16T05:00:00.000,2025-04-03T01:03:51.193,"In Solaris 2.2 and 2.3, when fsck fails on startup, it allows a local user with physical access to obtain root access.",Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0334, https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0334",
CVE-1999-0181,1994-01-01T05:00:00.000,2025-04-03T01:03:51.193,"The wall daemon can be used for denial of service, social engineering attacks, or to execute remote commands.",Deferred,MEDIUM,2.0,6.8,NETWORK,MEDIUM,PARTIAL,PARTIAL,PARTIAL,cve@mitre.org,"https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0181, https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0181",
CVE-1999-1242,1994-02-07T05:00:00.000,2025-04-03T01:03:51.193,Vulnerability in subnetconfig in HP-UX 9.01 and 9.0 allows local users to gain privileges.,Deferred,MEDIUM,2.0,4.6,LOCAL,LOW,PARTIAL,PARTIAL,PARTIAL,cve@mitre.org,"http://packetstormsecurity.org/advisories/hpalert/003, https://exchange.xforce.ibmcloud.com/vulnerabilities/2162, http://packetstormsecurity.org/advisories/hpalert/003, https://exchange.xforce.ibmcloud.com/vulnerabilities/2162",
CVE-1999-0211,1994-02-14T05:00:00.000,2025-04-03T01:03:51.193,Extra long export lists over 256 characters in some mount daemons allows NFS directories to be mounted by anyone.,Deferred,MEDIUM,2.0,5.0,NETWORK,LOW,PARTIAL,NONE,NONE,cve@mitre.org,"http://www.securityfocus.com/bid/24, https://vuls.cert.org/confluence/pages/viewpage.action?pageId=96665790, https://vuls.cert.org/confluence/pages/viewpage.action?pageId=97124517, https://vuls.cert.org/confluence/pages/viewpage.action?pageId=97124527, http://www.securityfocus.com/bid/24, https://vuls.cert.org/confluence/pages/viewpage.action?pageId=96665790, https://vuls.cert.org/confluence/pages/viewpage.action?pageId=97124517, https://vuls.cert.org/confluence/pages/viewpage.action?pageId=97124527",
CVE-1999-0338,1994-02-24T05:00:00.000,2025-04-03T01:03:51.193,AIX Licensed Program Product performance tools allow local users to gain root access.,Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0338, https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0338",
CVE-1999-0120,1994-03-21T05:00:00.000,2025-04-03T01:03:51.193,Sun/Solaris utmp file allows local users to gain root access if it is writable by users other than root.,Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/126, http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/126",
CVE-1999-1135,1994-04-20T04:00:00.000,2025-04-03T01:03:51.193,"Vulnerability in VUE 3.0 in HP 9.x allows local users to gain root privileges, as fixed by PHSS_4994 and PHSS_5438.",Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://packetstorm.securify.com/advisories/hpalert/027, https://exchange.xforce.ibmcloud.com/vulnerabilities/2284, http://packetstorm.securify.com/advisories/hpalert/027, https://exchange.xforce.ibmcloud.com/vulnerabilities/2284",
CVE-1999-1146,1994-05-04T04:00:00.000,2025-04-03T01:03:51.193,Vulnerability in Glance and gpm programs in GlancePlus for HP-UX 9.x and earlier allows local users to access arbitrary files and gain privileges.,Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://www.securityfocus.com/advisories/1555, https://exchange.xforce.ibmcloud.com/vulnerabilities/2060, http://www.securityfocus.com/advisories/1555, https://exchange.xforce.ibmcloud.com/vulnerabilities/2060",
CVE-1999-1388,1994-05-13T04:00:00.000,2025-04-03T01:03:51.193,passwd in SunOS 4.1.x allows local users to overwrite arbitrary files via a symlink attack and the -F command line argument.,Deferred,MEDIUM,2.0,6.2,LOCAL,HIGH,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://www.dataguard.no/bugtraq/1994_4/0755.html, http://www2.dataguard.no/bugtraq/1994_2/0197.html, http://www2.dataguard.no/bugtraq/1994_2/0207.html, http://www.dataguard.no/bugtraq/1994_4/0755.html, http://www2.dataguard.no/bugtraq/1994_2/0197.html, http://www2.dataguard.no/bugtraq/1994_2/0207.html",
CVE-1999-1134,1994-05-18T04:00:00.000,2025-04-03T01:03:51.193,"Vulnerability in Vue 3.0 in HP 9.x allows local users to gain root privileges, as fixed by PHSS_4038, PHSS_4055, and PHSS_4066.",Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://ciac.llnl.gov/ciac/bulletins/e-23.shtml, http://packetstorm.securify.com/advisories/hpalert/008, http://www.iss.net/security_center/static/2284.php, http://ciac.llnl.gov/ciac/bulletins/e-23.shtml, http://packetstorm.securify.com/advisories/hpalert/008, http://www.iss.net/security_center/static/2284.php",
CVE-1999-0113,1994-05-23T04:00:00.000,2025-04-03T01:03:51.193,Some implementations of rlogin allow root access if given a -froot parameter.,Deferred,HIGH,2.0,10.0,NETWORK,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://www.securityfocus.com/bid/458, http://www.securityfocus.com/bid/458",
CVE-1999-0423,1994-06-01T04:00:00.000,2025-04-03T01:03:51.193,Vulnerability in hpterm on HP-UX 10.20 allows local users to gain additional privileges.,Deferred,MEDIUM,2.0,4.6,LOCAL,LOW,PARTIAL,PARTIAL,PARTIAL,cve@mitre.org,"http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=HPSBUX9903-093, http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=HPSBUX9903-093",
CVE-1999-0337,1994-06-03T04:00:00.000,2025-04-03T01:03:51.193,AIX batch queue (bsh) allows local and remote users to gain additional privileges when network printing is enabled.,Deferred,HIGH,2.0,7.5,NETWORK,LOW,PARTIAL,PARTIAL,PARTIAL,cve@mitre.org,"https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0337, https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0337",
CVE-1999-0207,1994-06-09T04:00:00.000,2025-04-03T01:03:51.193,"Remote attacker can execute commands through Majordomo using the Reply-To field and a ""lists"" command.",Deferred,HIGH,2.0,7.5,NETWORK,LOW,PARTIAL,PARTIAL,PARTIAL,cve@mitre.org,"https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0207, https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0207",
CVE-1999-1239,1994-07-13T04:00:00.000,2025-04-03T01:03:51.193,"HP-UX 9.x does not properly enable the Xauthority mechanism in certain conditions, which could allow local users to access the X display even when they have not explicitly been authorized to do so.",Deferred,MEDIUM,2.0,4.6,LOCAL,LOW,PARTIAL,PARTIAL,PARTIAL,cve@mitre.org,"http://www.securityfocus.com/advisories/1559, https://exchange.xforce.ibmcloud.com/vulnerabilities/2261, http://www.securityfocus.com/advisories/1559, https://exchange.xforce.ibmcloud.com/vulnerabilities/2261",
CVE-1999-1552,1994-07-20T04:00:00.000,2025-04-03T01:03:51.193,"dpsexec (DPS Server) when running under XDM in IBM AIX 3.2.5 and earlier does not properly check privileges, which allows local users to overwrite arbitrary files and gain privileges.",Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://lists.insecure.org/lists/bugtraq/1994/Jul/0038.html, http://www.securityfocus.com/bid/358, http://lists.insecure.org/lists/bugtraq/1994/Jul/0038.html, http://www.securityfocus.com/bid/358",
CVE-1999-1494,1994-08-09T04:00:00.000,2025-04-03T01:03:51.193,"colorview in Silicon Graphics IRIX 5.1, 5.2, and 6.0 allows local attackers to read arbitrary files via the -text argument.",Deferred,LOW,2.0,2.1,LOCAL,LOW,PARTIAL,NONE,NONE,cve@mitre.org,"ftp://patches.sgi.com/support/free/security/advisories/19950209-01-P, http://www.securityfocus.com/archive/1/675, http://www.securityfocus.com/bid/336, http://www.tryc.on.ca/archives/bugtraq/1995_1/0614.html, https://exchange.xforce.ibmcloud.com/vulnerabilities/2112, ftp://patches.sgi.com/support/free/security/advisories/19950209-01-P, http://www.securityfocus.com/archive/1/675, http://www.securityfocus.com/bid/336, http://www.tryc.on.ca/archives/bugtraq/1995_1/0614.html, https://exchange.xforce.ibmcloud.com/vulnerabilities/2112",
CVE-1999-1219,1994-08-11T04:00:00.000,2025-04-03T01:03:51.193,"Vulnerability in sgihelp in the SGI help system and print manager in IRIX 5.2 and earlier allows local users to gain root privileges, possibly through the clogin command.",Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://ciac.llnl.gov/ciac/bulletins/e-33.shtml, http://www.cert.org/advisories/CA-1994-13.html, http://www.securityfocus.com/bid/468, https://exchange.xforce.ibmcloud.com/vulnerabilities/511, http://ciac.llnl.gov/ciac/bulletins/e-33.shtml, http://www.cert.org/advisories/CA-1994-13.html, http://www.securityfocus.com/bid/468, https://exchange.xforce.ibmcloud.com/vulnerabilities/511",
CVE-1999-1238,1994-09-21T04:00:00.000,2025-04-03T01:03:51.193,Vulnerability in CORE-DIAG fileset in HP message catalog in HP-UX 9.05 and earlier allows local users to gain privileges.,Deferred,MEDIUM,2.0,4.6,LOCAL,LOW,PARTIAL,PARTIAL,PARTIAL,cve@mitre.org,"http://www.securityfocus.com/advisories/1531, https://exchange.xforce.ibmcloud.com/vulnerabilities/2262, http://www.securityfocus.com/advisories/1531, https://exchange.xforce.ibmcloud.com/vulnerabilities/2262",
CVE-1999-1022,1994-10-02T04:00:00.000,2025-04-03T01:03:51.193,"serial_ports administrative program in IRIX 4.x and 5.x trusts the user's PATH environmental variable to find and execute the ls program, which allows local users to gain root privileges via a Trojan horse ls program.",Deferred,MEDIUM,2.0,6.2,LOCAL,HIGH,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://www.securityfocus.com/archive/1/930, http://www.securityfocus.com/bid/464, https://exchange.xforce.ibmcloud.com/vulnerabilities/2111, http://www.securityfocus.com/archive/1/930, http://www.securityfocus.com/bid/464, https://exchange.xforce.ibmcloud.com/vulnerabilities/2111",
CVE-1999-1310,1994-11-04T05:00:00.000,2023-11-07T01:55:08.250,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-1999-1022.  Reason: This candidate is a duplicate of CVE-1999-1022.  Notes: All CVE users should reference CVE-1999-1022 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage,Rejected,,,,,,,,,cve@mitre.org,,
CVE-1999-1248,1994-11-30T05:00:00.000,2025-04-03T01:03:51.193,Vulnerability in Support Watch (aka SupportWatch) in HP-UX 8.0 through 9.0 allows local users to gain privileges.,Deferred,MEDIUM,2.0,4.6,LOCAL,LOW,PARTIAL,PARTIAL,PARTIAL,cve@mitre.org,"http://packetstormsecurity.org/advisories/hpalert/019, https://exchange.xforce.ibmcloud.com/vulnerabilities/2058, http://packetstormsecurity.org/advisories/hpalert/019, https://exchange.xforce.ibmcloud.com/vulnerabilities/2058",
CVE-1999-1302,1994-11-30T05:00:00.000,2025-04-03T01:03:51.193,Unspecified vulnerability in pt_chmod in SCO UNIX 4.2 and earlier allows local users to gain root access.,Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://ciac.llnl.gov/ciac/bulletins/f-05.shtml, http://ciac.llnl.gov/ciac/bulletins/f-05.shtml, http://ftp.cerias.purdue.edu/pub/advisories/cert/cert_bulletins/VB-94:01.sco, http://www.osvdb.org/8797, https://exchange.xforce.ibmcloud.com/vulnerabilities/7586, http://ciac.llnl.gov/ciac/bulletins/f-05.shtml, http://ciac.llnl.gov/ciac/bulletins/f-05.shtml, http://ftp.cerias.purdue.edu/pub/advisories/cert/cert_bulletins/VB-94:01.sco, http://www.osvdb.org/8797, https://exchange.xforce.ibmcloud.com/vulnerabilities/7586",
CVE-1999-1303,1994-11-30T05:00:00.000,2025-04-03T01:03:51.193,Vulnerability in prwarn in SCO UNIX 4.2 and earlier allows local users to gain root access.,Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://ciac.llnl.gov/ciac/bulletins/f-05.shtml, http://ciac.llnl.gov/ciac/bulletins/f-05.shtml, http://ciac.llnl.gov/ciac/bulletins/f-05.shtml, http://ciac.llnl.gov/ciac/bulletins/f-05.shtml",
CVE-1999-1304,1994-11-30T05:00:00.000,2025-04-03T01:03:51.193,Vulnerability in login in SCO UNIX 4.2 and earlier allows local users to gain root access.,Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://ciac.llnl.gov/ciac/bulletins/f-05.shtml, http://ciac.llnl.gov/ciac/bulletins/f-05.shtml, http://ciac.llnl.gov/ciac/bulletins/f-05.shtml, http://ciac.llnl.gov/ciac/bulletins/f-05.shtml",
CVE-1999-1305,1994-11-30T05:00:00.000,2025-04-03T01:03:51.193,"Vulnerability in ""at"" program in SCO UNIX 4.2 and earlier allows local users to gain root access.",Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://ciac.llnl.gov/ciac/bulletins/f-05.shtml, http://ciac.llnl.gov/ciac/bulletins/f-05.shtml, http://ciac.llnl.gov/ciac/bulletins/f-05.shtml, http://ciac.llnl.gov/ciac/bulletins/f-05.shtml",
CVE-2000-0508,1994-12-19T05:00:00.000,2025-04-03T01:03:51.193,rpc.lockd in Red Hat Linux 6.1 and 6.2 allows remote attackers to cause a denial of service via a malformed request.,Deferred,MEDIUM,2.0,5.0,NETWORK,LOW,NONE,NONE,PARTIAL,cve@mitre.org,"http://archives.neohapsis.com/archives/bugtraq/2000-06/0073.html, http://www.securityfocus.com/bid/1372, https://exchange.xforce.ibmcloud.com/vulnerabilities/5050, http://archives.neohapsis.com/archives/bugtraq/2000-06/0073.html, http://www.securityfocus.com/bid/1372, https://exchange.xforce.ibmcloud.com/vulnerabilities/5050",
CVE-1999-0077,1995-01-01T05:00:00.000,2025-04-03T01:03:51.193,Predictable TCP sequence numbers allow spoofing.,Deferred,MEDIUM,2.0,5.0,NETWORK,LOW,PARTIAL,NONE,NONE,cve@mitre.org,"https://exchange.xforce.ibmcloud.com/vulnerabilities/139, https://exchange.xforce.ibmcloud.com/vulnerabilities/139",
CVE-1999-0232,1995-02-01T05:00:00.000,2025-04-03T01:03:51.193,Buffer overflow in NCSA WebServer (version 1.5c) gives remote access.,Deferred,HIGH,2.0,10.0,NETWORK,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"https://www.cve.org/CVERecord?id=CVE-1999-0232, https://www.cve.org/CVERecord?id=CVE-1999-0232",
CVE-1999-0235,1995-02-17T05:00:00.000,2025-04-03T01:03:51.193,Buffer overflow in NCSA WebServer (1.4.1 and below) gives remote access.,Deferred,HIGH,2.0,10.0,NETWORK,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0235, https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0235",
CVE-1999-0242,1995-03-01T05:00:00.000,2025-04-03T01:03:51.193,Remote attackers can access mail files via POP3 in some Linux systems that are using shadow passwords.,Deferred,HIGH,2.0,7.5,NETWORK,LOW,PARTIAL,PARTIAL,PARTIAL,cve@mitre.org,"https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0242, https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0242",
CVE-1999-1098,1995-03-03T05:00:00.000,2025-04-03T01:03:51.193,Vulnerability in BSD Telnet client with encryption and Kerberos 4 authentication allows remote attackers to decrypt the session via sniffing.,Deferred,MEDIUM,2.0,5.0,NETWORK,LOW,PARTIAL,NONE,NONE,cve@mitre.org,"http://www.cert.org/advisories/CA-1995-03.html, http://www.ciac.org/ciac/bulletins/f-12.shtml, http://www.iss.net/security_center/static/516.php, http://www.osvdb.org/4881, http://www.cert.org/advisories/CA-1995-03.html, http://www.ciac.org/ciac/bulletins/f-12.shtml, http://www.iss.net/security_center/static/516.php, http://www.osvdb.org/4881",
CVE-1999-1243,1995-03-03T05:00:00.000,2025-04-03T01:03:51.193,SGI Desktop Permissions Tool in IRIX 6.0.1 and earlier allows local users to modify permissions for arbitrary files and gain privileges.,Deferred,MEDIUM,2.0,4.6,LOCAL,LOW,PARTIAL,PARTIAL,PARTIAL,cve@mitre.org,"ftp://patches.sgi.com/support/free/security/advisories/19950301-01-P373, http://ciac.llnl.gov/ciac/bulletins/f-16.shtml, https://exchange.xforce.ibmcloud.com/vulnerabilities/2113, ftp://patches.sgi.com/support/free/security/advisories/19950301-01-P373, http://ciac.llnl.gov/ciac/bulletins/f-16.shtml, https://exchange.xforce.ibmcloud.com/vulnerabilities/2113",
CVE-1999-0151,1995-04-03T04:00:00.000,2025-04-03T01:03:51.193,"The SATAN session key may be disclosed if the user points the web browser to other sites, possibly allowing root access.",Deferred,HIGH,2.0,7.6,NETWORK,HIGH,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0151, https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0151",
CVE-1999-1080,1995-05-10T04:00:00.000,2025-04-03T01:03:51.193,"rmmount in SunOS 5.7 may mount file systems without the nosuid flag set, contrary to the documentation and its use in previous versions of SunOS, which could allow local users with physical access to gain root privileges by mounting a floppy or CD-ROM that contains a setuid program and running volcheck, when the file systems do not have the nosuid option specified in rmmount.conf.",Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://marc.info/?l=bugtraq&m=92633694100270&w=2, http://marc.info/?l=bugtraq&m=93971288323395&w=2, http://www.securityfocus.com/bid/250, https://exchange.xforce.ibmcloud.com/vulnerabilities/8350, http://marc.info/?l=bugtraq&m=92633694100270&w=2, http://marc.info/?l=bugtraq&m=93971288323395&w=2, http://www.securityfocus.com/bid/250, https://exchange.xforce.ibmcloud.com/vulnerabilities/8350",
CVE-1999-0066,1995-07-31T04:00:00.000,2025-04-03T01:03:51.193,AnyForm CGI remote execution.,Deferred,HIGH,2.0,7.5,NETWORK,LOW,PARTIAL,PARTIAL,PARTIAL,cve@mitre.org,"http://www.securityfocus.com/bid/719, http://www.securityfocus.com/bid/719",
CVE-1999-0161,1995-07-31T04:00:00.000,2025-04-03T01:03:51.193,"In Cisco IOS 10.3, with the tacacs-ds or tacacs keyword, an extended IP access control list could bypass filtering.",Deferred,HIGH,2.0,7.5,NETWORK,LOW,PARTIAL,PARTIAL,PARTIAL,cve@mitre.org,"http://www.osvdb.org/797, http://www.osvdb.org/797",
CVE-1999-0172,1995-08-02T04:00:00.000,2025-04-03T01:03:51.193,FormMail CGI program allows remote execution of commands.,Deferred,HIGH,2.0,7.5,NETWORK,LOW,PARTIAL,PARTIAL,PARTIAL,cve@mitre.org,"https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0172, https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0172",
CVE-1999-0203,1995-08-17T04:00:00.000,2025-04-03T01:03:51.193,"In Sendmail, attackers can gain root privileges via SMTP by specifying an improper ""mail from"" address and an invalid ""rcpt to"" address that would cause the mail to bounce to a program.",Deferred,HIGH,2.0,10.0,NETWORK,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0203, https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0203",
CVE-1999-1580,1995-08-23T04:00:00.000,2025-04-03T01:03:51.193,"SunOS sendmail 5.59 through 5.65 uses popen to process a forwarding host argument, which allows local users to gain root privileges by modifying the IFS (Internal Field Separator) variable and passing crafted values to the -oR option.",Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://www.alw.nih.gov/Security/8lgm/8lgm-Advisory-21.html, http://www.auscert.org.au/render.html?it=1853&cid=1978, http://www.cert.org/advisories/CA-95.11.sun.sendmail-oR.vul, http://www.kb.cert.org/vuls/id/3278, http://www.securityfocus.com/bid/7829, http://www.alw.nih.gov/Security/8lgm/8lgm-Advisory-21.html, http://www.auscert.org.au/render.html?it=1853&cid=1978, http://www.cert.org/advisories/CA-95.11.sun.sendmail-oR.vul, http://www.kb.cert.org/vuls/id/3278, http://www.securityfocus.com/bid/7829",
CVE-1999-0164,1995-08-29T04:00:00.000,2025-04-03T01:03:51.193,A race condition in the Solaris ps command allows an attacker to overwrite critical files.,Deferred,MEDIUM,2.0,6.2,LOCAL,HIGH,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://www.osvdb.org/8346, http://www.osvdb.org/8346",
CVE-1999-0155,1995-08-31T04:00:00.000,2025-04-03T01:03:51.193,The ghostscript command with the -dSAFER option allows remote attackers to execute commands.,Deferred,HIGH,2.0,7.5,NETWORK,LOW,PARTIAL,PARTIAL,PARTIAL,cve@mitre.org,"https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0155, https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0155",
